City_Region,ZIP,Population_2021,Median_Household_Income,Percent_Household_Income_Greater_than_100000,Per_Capita_Income,Population_Male,Population_Female,Projected_Population_2026,Employed,Housing_units,Percent_Housing_Occupied,Percent_Family_households,Percent_Never_married,Education_Bachelors_degree
 Woodstock,30189,39611,90230.94,0.4591,40524.65,0.4911,0.5089,41966,0.7049,15058,0.9714,0.7642,0.2596,0.444
 Barnesville,30204,13224,41713.2,0.1606,20961.82,0.4781,0.5218,13666,0.4928,5269,0.8425,0.5168,0.421,0.1321
 Brooks,30205,2682,91919.91,0.5005,44361.46,0.5022,0.497,2301,0.5665,1250,0.8712,0.7493,0.2162,0.305
 Concord,30206,4401,73756.62,0.3119,26937.64,0.4958,0.5042,5722,0.5983,1515,0.8931,0.6814,0.2523,0.1735
 Fairburn,30213,35491,58001.77,0.1965,24761.96,0.4786,0.5214,40141,0.7272,11543,0.993,0.6576,0.4486,0.2924
 Fayetteville,30214,29439,75751.26,0.368,37013.72,0.4662,0.5337,29486,0.6017,11464,0.9608,0.7012,0.2946,0.3651
 Fayetteville,30215,38902,95876.67,0.4849,42337.11,0.4922,0.5078,43029,0.6376,13144,0.9755,0.8171,0.2735,0.454
 Flovilla,30216,2379,37919.85,0.1123,18663.69,0.5107,0.4889,2372,0.5175,959,0.9656,0.8045,0.4918,0.1126
 Franklin,30217,9227,51782.57,0.1387,22681.56,0.4768,0.5231,8867,0.5716,4248,0.8621,0.7226,0.2224,0.0859
 Gay,30218,1647,60883.61,0.2722,27138.12,0.4833,0.5167,1560,0.6514,803,0.8281,0.8827,0.1556,0.143
 Grantville,30220,5997,61385.92,0.2675,24094.94,0.4654,0.5344,6974,0.6655,2124,0.9539,0.7414,0.3803,0.1585
 Greenville,30222,4162,33440.24,0.0348,16988.48,0.4536,0.5461,4388,0.4357,2036,0.7623,0.6611,0.3928,0.05
 Griffin,30223,36881,43650.04,0.1344,22228.8,0.4872,0.5128,37037,0.5107,15842,0.907,0.6741,0.3319,0.1402
 Griffin,30224,26868,53821.08,0.2583,29471.42,0.477,0.523,29447,0.586,10991,0.9187,0.6506,0.3294,0.2576
 Hampton,30228,45206,67756.65,0.2456,25701.6,0.4483,0.5517,49805,0.659,15646,0.9292,0.7356,0.3389,0.2582
 Hogansville,30230,10546,40097.2,0.1931,21398.6,0.4655,0.5344,12213,0.5165,4130,0.8901,0.7078,0.3097,0.1295
 Jackson,30233,24472,45255.2,0.22,28661.62,0.5559,0.4441,26416,0.4868,9464,0.896,0.6572,0.306,0.1436
 Jenkinsburg,30234,1637,39122.57,0.0776,20391.04,0.2944,0.7049,1157,0.642,843,0.917,0.6701,0.2169,0.1201
 Jonesboro,30236,53016,54665.58,0.2507,24348.95,0.4735,0.5265,58831,0.6606,18547,0.8929,0.7348,0.4187,0.2217
 Jonesboro,30238,40165,52558.17,0.1991,20993.04,0.4578,0.5421,42384,0.6362,13204,0.9432,0.7532,0.4608,0.2212
 Lagrange,30240,29870,45821.77,0.2181,24685.69,0.4591,0.5409,30572,0.6121,12125,0.8887,0.6695,0.3688,0.2706
 Lagrange,30241,24901,44938.72,0.1792,21549.98,0.5006,0.4993,24671,0.5671,9934,0.8769,0.6516,0.3649,0.1384
 Locust Grove,30248,27507,72310.86,0.3168,28504.7,0.4887,0.5113,30930,0.6757,9988,0.9212,0.8591,0.2782,0.2811
 Lovejoy,30250,608,,0,9819.67,0.9211,0.0757,459,0,6,0,0,0.661,0.0893
 Luthersville,30251,2018,44782.32,0.234,22763.91,0.4757,0.5238,1542,0.4459,1021,0.7659,0.7327,0.4146,0.0533
 Mcdonough,30252,51312,88217.33,0.4715,33511.18,0.4846,0.5154,59435,0.6582,16259,0.9609,0.8576,0.303,0.3204
 Mcdonough,30253,54876,70077.1,0.3325,31169.06,0.4599,0.5401,56116,0.6965,20184,0.9614,0.7219,0.3644,0.3077
 Meansville,30256,3117,58992.87,0.3063,25676.35,0.512,0.4876,3773,0.611,1229,0.8023,0.7992,0.2508,0.1949
 Milner,30257,4230,46498.4,0.1769,27825.56,0.5135,0.4863,3853,0.454,1957,0.8983,0.5319,0.217,0.2411
 Molena,30258,3120,49864.2,0.1489,22495.8,0.4619,0.5378,3456,0.48,1191,0.8682,0.6132,0.199,0.0683
 Moreland,30259,3268,72424.65,0.3135,37093.29,0.4902,0.5095,3778,0.6282,1284,0.9541,0.7469,0.2545,0.2137
 Morrow,30260,24422,50086.08,0.1328,19147.72,0.46,0.5399,22182,0.6326,8706,0.8589,0.6573,0.5071,0.2279
 Newnan,30263,62273,59853.18,0.3009,30873.37,0.4828,0.5172,68446,0.6595,24843,0.9383,0.6984,0.3084,0.2633
 Newnan,30265,35926,89000.11,0.4809,39805.17,0.4719,0.5281,37802,0.6844,13629,0.9697,0.7411,0.2837,0.3912
 Palmetto,30268,10846,52134.72,0.2112,24563,0.4289,0.571,11708,0.539,4376,0.9109,0.6633,0.3508,0.2332
 Peachtree City,30269,36952,100908.15,0.5377,52309.37,0.4769,0.5231,38423,0.5895,14966,0.9498,0.7248,0.2177,0.5751
 Rex,30273,15588,61893.69,0.1875,24461.3,0.514,0.486,16929,0.7421,5789,0.8927,0.791,0.3821,0.2508
 Riverdale,30274,37045,43255.5,0.0961,19192.99,0.4601,0.5398,39594,0.6663,14254,0.9242,0.6365,0.4509,0.1707
 Sargent,30275,70,,1,,0.3429,0.6571,140,1,21,1,1,0.7,0
 Senoia,30276,16573,83488.21,0.4002,36519.79,0.5089,0.4911,18480,0.6674,5948,0.957,0.7995,0.2724,0.3325
 Sharpsburg,30277,23141,92942.65,0.5041,38208.55,0.5181,0.4819,24076,0.6541,8121,0.9888,0.8057,0.2211,0.3861
